"Tabela 3170 - Pessoas de 10 anos ou mais de idade, com rendimento, Valor do rendimento nominal médio mensal e Valor do rendimento nominal mediano mensal das pessoas de 10 anos ou mais de idade, com rendimento, por sexo, situação do domicílio e grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade, com rendimento (Pessoas)"
"Bairro";"Grupo de idade";"Ano x Sexo x Situação do domicílio"
"Bairro";"Grupo de idade";"2010"
"Bairro";"Grupo de idade";"Total";"Homens";"Mulheres"
"Bairro";"Grupo de idade";"Total";"Total";"Total"
"Pedreira - Belém (PA)";"Total";"38128";"18739";"19389"
"Pedreira - Belém (PA)";"10 a 14 anos";"239";"116";"123"
"Pedreira - Belém (PA)";"15 a 19 anos";"788";"421";"367"
"Pedreira - Belém (PA)";"15 a 17 anos";"278";"138";"140"
"Pedreira - Belém (PA)";"18 ou 19 anos";"510";"283";"227"
"Pedreira - Belém (PA)";"20 a 24 anos";"3209";"1712";"1497"
"Pedreira - Belém (PA)";"25 a 29 anos";"4548";"2366";"2182"
"Pedreira - Belém (PA)";"30 a 34 anos";"4576";"2354";"2222"
"Pedreira - Belém (PA)";"35 a 39 anos";"4249";"2148";"2101"
"Pedreira - Belém (PA)";"40 a 44 anos";"4047";"2061";"1986"
"Pedreira - Belém (PA)";"45 a 49 anos";"3706";"1882";"1824"
"Pedreira - Belém (PA)";"50 a 54 anos";"3328";"1676";"1652"
"Pedreira - Belém (PA)";"55 a 59 anos";"2491";"1241";"1250"
"Pedreira - Belém (PA)";"60 a 69 anos";"3574";"1580";"1994"
"Pedreira - Belém (PA)";"70 anos ou mais";"3373";"1182";"2191"
"Reduto - Belém (PA)";"Total";"4054";"1801";"2253"
"Reduto - Belém (PA)";"10 a 14 anos";"14";"5";"9"
"Reduto - Belém (PA)";"15 a 19 anos";"63";"30";"33"
"Reduto - Belém (PA)";"15 a 17 anos";"21";"8";"13"
"Reduto - Belém (PA)";"18 ou 19 anos";"42";"22";"20"
"Reduto - Belém (PA)";"20 a 24 anos";"288";"125";"163"
"Reduto - Belém (PA)";"25 a 29 anos";"448";"201";"247"
"Reduto - Belém (PA)";"30 a 34 anos";"403";"197";"206"
"Reduto - Belém (PA)";"35 a 39 anos";"334";"160";"174"
"Reduto - Belém (PA)";"40 a 44 anos";"316";"144";"172"
"Reduto - Belém (PA)";"45 a 49 anos";"396";"181";"215"
"Reduto - Belém (PA)";"50 a 54 anos";"406";"190";"216"
"Reduto - Belém (PA)";"55 a 59 anos";"357";"163";"194"
"Reduto - Belém (PA)";"60 a 69 anos";"554";"238";"316"
"Reduto - Belém (PA)";"70 anos ou mais";"475";"167";"308"
"Sacramenta - Belém (PA)";"Total";"22709";"11892";"10817"
"Sacramenta - Belém (PA)";"10 a 14 anos";"261";"132";"129"
"Sacramenta - Belém (PA)";"15 a 19 anos";"649";"376";"273"
"Sacramenta - Belém (PA)";"15 a 17 anos";"257";"136";"121"
