"Tabela 3170 - Pessoas de 10 anos ou mais de idade, com rendimento, Valor do rendimento nominal médio mensal e Valor do rendimento nominal mediano mensal das pessoas de 10 anos ou mais de idade, com rendimento, por sexo, situação do domicílio e grupos de idade"
"Variável - Valor do rendimento nominal médio mensal das pessoas de 10 anos ou mais de idade, com rendimento (Reais)"
"Bairro";"Grupo de idade";"Ano x Sexo x Situação do domicílio"
"Bairro";"Grupo de idade";"2010"
"Bairro";"Grupo de idade";"Total";"Homens";"Mulheres"
"Bairro";"Grupo de idade";"Total";"Total";"Total"
"Telégrafo - Belém (PA)";"15 a 19 anos";"456,60";"492,22";"414,54"
"Telégrafo - Belém (PA)";"15 a 17 anos";"350,81";"314,75";"385,90"
"Telégrafo - Belém (PA)";"18 ou 19 anos";"535,05";"604,69";"439,99"
"Telégrafo - Belém (PA)";"20 a 24 anos";"641,26";"692,34";"573,29"
"Telégrafo - Belém (PA)";"25 a 29 anos";"791,52";"834,82";"738,23"
"Telégrafo - Belém (PA)";"30 a 34 anos";"938,23";"1020,74";"838,62"
"Telégrafo - Belém (PA)";"35 a 39 anos";"987,45";"1103,14";"855,15"
"Telégrafo - Belém (PA)";"40 a 44 anos";"1182,04";"1378,61";"951,86"
"Telégrafo - Belém (PA)";"45 a 49 anos";"1164,67";"1281,84";"1025,16"
"Telégrafo - Belém (PA)";"50 a 54 anos";"1211,41";"1327,35";"1087,24"
"Telégrafo - Belém (PA)";"55 a 59 anos";"1393,31";"1550,33";"1231,83"
"Telégrafo - Belém (PA)";"60 a 69 anos";"1179,60";"1385,91";"1016,07"
"Telégrafo - Belém (PA)";"70 anos ou mais";"1035,90";"1297,80";"873,66"
"Montese (Terra Firme) - Belém (PA)";"Total";"714,43";"798,24";"617,04"
"Montese (Terra Firme) - Belém (PA)";"10 a 14 anos";"155,79";"170,56";"139,67"
"Montese (Terra Firme) - Belém (PA)";"15 a 19 anos";"348,37";"371,40";"315,37"
"Montese (Terra Firme) - Belém (PA)";"15 a 17 anos";"253,41";"264,75";"236,83"
"Montese (Terra Firme) - Belém (PA)";"18 ou 19 anos";"417,19";"449,81";"371,13"
"Montese (Terra Firme) - Belém (PA)";"20 a 24 anos";"532,19";"572,15";"477,79"
"Montese (Terra Firme) - Belém (PA)";"25 a 29 anos";"633,12";"694,48";"556,11"
"Montese (Terra Firme) - Belém (PA)";"30 a 34 anos";"696,60";"776,08";"600,10"
"Montese (Terra Firme) - Belém (PA)";"35 a 39 anos";"745,00";"818,28";"659,46"
"Montese (Terra Firme) - Belém (PA)";"40 a 44 anos";"813,96";"933,25";"671,79"
"Montese (Terra Firme) - Belém (PA)";"45 a 49 anos";"824,30";"947,00";"691,45"
"Montese (Terra Firme) - Belém (PA)";"50 a 54 anos";"902,98";"1029,54";"746,61"
"Montese (Terra Firme) - Belém (PA)";"55 a 59 anos";"875,76";"1038,16";"682,76"
"Montese (Terra Firme) - Belém (PA)";"60 a 69 anos";"819,94";"928,92";"719,07"
"Montese (Terra Firme) - Belém (PA)";"70 anos ou mais";"773,14";"914,48";"679,34"
"Campina - Belém (PA)";"Total";"2951,02";"3559,97";"2438,85"
"Campina - Belém (PA)";"10 a 14 anos";"747,85";"730,00";"759,00"
"Campina - Belém (PA)";"15 a 19 anos";"894,01";"967,69";"847,29"
"Campina - Belém (PA)";"15 a 17 anos";"718,33";"515,71";"1002,00"
"Campina - Belém (PA)";"18 ou 19 anos";"932,35";"1134,21";"825,81"
"Campina - Belém (PA)";"20 a 24 anos";"1331,82";"1517,21";"1153,34"
"Campina - Belém (PA)";"25 a 29 anos";"1920,47";"2110,15";"1748,89"
"Campina - Belém (PA)";"30 a 34 anos";"2203,92";"2669,91";"1843,16"
"Campina - Belém (PA)";"35 a 39 anos";"2456,58";"2573,13";"2346,54"
"Campina - Belém (PA)";"40 a 44 anos";"3406,39";"3947,96";"2897,02"
"Campina - Belém (PA)";"45 a 49 anos";"3356,03";"4105,70";"2632,99"
