"Tabela 3170 - Pessoas de 10 anos ou mais de idade, com rendimento, Valor do rendimento nominal médio mensal e Valor do rendimento nominal mediano mensal das pessoas de 10 anos ou mais de idade, com rendimento, por sexo, situação do domicílio e grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade, com rendimento - percentual do total geral"
"Bairro";"Grupo de idade";"Ano x Sexo x Situação do domicílio"
"Bairro";"Grupo de idade";"2010"
"Bairro";"Grupo de idade";"Total";"Homens";"Mulheres"
"Bairro";"Grupo de idade";"Total";"Total";"Total"
"Souza - Belém (PA)";"15 a 19 anos";"1,98";"0,91";"1,07"
"Souza - Belém (PA)";"15 a 17 anos";"0,47";"0,22";"0,26"
"Souza - Belém (PA)";"18 ou 19 anos";"1,50";"0,69";"0,81"
"Souza - Belém (PA)";"20 a 24 anos";"9,55";"4,90";"4,64"
"Souza - Belém (PA)";"25 a 29 anos";"13,24";"6,47";"6,77"
"Souza - Belém (PA)";"30 a 34 anos";"11,86";"6,28";"5,58"
"Souza - Belém (PA)";"35 a 39 anos";"11,89";"6,31";"5,58"
"Souza - Belém (PA)";"40 a 44 anos";"10,64";"5,82";"4,82"
"Souza - Belém (PA)";"45 a 49 anos";"10,79";"5,52";"5,27"
"Souza - Belém (PA)";"50 a 54 anos";"8,91";"4,27";"4,64"
"Souza - Belém (PA)";"55 a 59 anos";"5,96";"2,79";"3,17"
"Souza - Belém (PA)";"60 a 69 anos";"7,56";"3,47";"4,09"
"Souza - Belém (PA)";"70 anos ou mais";"7,26";"2,82";"4,44"
"Telégrafo - Belém (PA)";"Total";"100,00";"51,61";"48,39"
"Telégrafo - Belém (PA)";"10 a 14 anos";"0,97";"0,46";"0,51"
"Telégrafo - Belém (PA)";"15 a 19 anos";"2,42";"1,31";"1,11"
"Telégrafo - Belém (PA)";"15 a 17 anos";"1,03";"0,51";"0,52"
"Telégrafo - Belém (PA)";"18 ou 19 anos";"1,39";"0,80";"0,59"
"Telégrafo - Belém (PA)";"20 a 24 anos";"8,30";"4,74";"3,56"
"Telégrafo - Belém (PA)";"25 a 29 anos";"12,20";"6,73";"5,47"
"Telégrafo - Belém (PA)";"30 a 34 anos";"12,20";"6,67";"5,53"
"Telégrafo - Belém (PA)";"35 a 39 anos";"11,69";"6,24";"5,45"
"Telégrafo - Belém (PA)";"40 a 44 anos";"10,52";"5,68";"4,85"
"Telégrafo - Belém (PA)";"45 a 49 anos";"9,20";"5,00";"4,20"
"Telégrafo - Belém (PA)";"50 a 54 anos";"7,88";"4,07";"3,80"
"Telégrafo - Belém (PA)";"55 a 59 anos";"5,99";"3,04";"2,95"
"Telégrafo - Belém (PA)";"60 a 69 anos";"9,26";"4,09";"5,16"
"Telégrafo - Belém (PA)";"70 anos ou mais";"9,37";"3,59";"5,79"
"Montese (Terra Firme) - Belém (PA)";"Total";"100,00";"53,75";"46,25"
"Montese (Terra Firme) - Belém (PA)";"10 a 14 anos";"1,52";"0,79";"0,73"
"Montese (Terra Firme) - Belém (PA)";"15 a 19 anos";"3,67";"2,16";"1,51"
"Montese (Terra Firme) - Belém (PA)";"15 a 17 anos";"1,54";"0,92";"0,63"
