Bairro,Grupo de idade,Total,Total.1,Total.2
Águas Lindas,35 a 39 anos,1143,608,535
Águas Lindas,40 a 44 anos,868,485,383
Águas Lindas,45 a 49 anos,643,372,271
Águas Lindas,50 a 54 anos,471,261,210
Águas Lindas,55 a 59 anos,278,159,119
Águas Lindas,60 a 69 anos,385,199,186
Águas Lindas,70 anos ou mais,284,132,152
Aurá,Total,878,477,401
Aurá,10 a 14 anos,9,5,4
Aurá,15 a 19 anos,44,25,19
Aurá,15 a 17 anos,17,11,6
Aurá,18 ou 19 anos,27,14,13
Aurá,20 a 24 anos,109,69,40
Aurá,25 a 29 anos,109,64,45
Aurá,30 a 34 anos,136,68,68
Aurá,35 a 39 anos,112,53,59
Aurá,40 a 44 anos,100,57,43
Aurá,45 a 49 anos,84,45,39
Aurá,50 a 54 anos,56,27,29
Aurá,55 a 59 anos,34,21,13
Aurá,60 a 69 anos,54,27,27
Aurá,70 anos ou mais,31,16,15
Bengui,Total,13512,7483,6029
Bengui,10 a 14 anos,186,99,87
Bengui,15 a 19 anos,477,293,184
Bengui,15 a 17 anos,187,114,73
Bengui,18 ou 19 anos,290,179,111
Bengui,20 a 24 anos,1376,813,563
Bengui,25 a 29 anos,1971,1136,835
Bengui,30 a 34 anos,2019,1130,889
Bengui,35 a 39 anos,1677,951,726
Bengui,40 a 44 anos,1224,677,547
Bengui,45 a 49 anos,1015,579,436
Bengui,50 a 54 anos,946,505,441
Bengui,55 a 59 anos,812,443,369
Bengui,60 a 69 anos,1102,571,531
Bengui,70 anos ou mais,707,286,421
Cabanagem,Total,12091,6857,5234
Cabanagem,10 a 14 anos,90,51,39
Cabanagem,15 a 19 anos,533,320,213
Cabanagem,15 a 17 anos,199,121,78
Cabanagem,18 ou 19 anos,334,199,135
Cabanagem,20 a 24 anos,1509,973,536
Cabanagem,25 a 29 anos,1751,1062,689
Cabanagem,30 a 34 anos,1597,905,692
Cabanagem,35 a 39 anos,1460,766,694
Cabanagem,40 a 44 anos,1389,748,641
Cabanagem,45 a 49 anos,1150,665,485
Cabanagem,50 a 54 anos,887,491,396
Cabanagem,55 a 59 anos,587,343,244
Cabanagem,60 a 69 anos,681,342,339
Cabanagem,70 anos ou mais,457,191,266
Coqueiro,Total,25857,13537,12320
Coqueiro,10 a 14 anos,198,96,102
Coqueiro,15 a 19 anos,675,376,299
Coqueiro,15 a 17 anos,248,134,114
Coqueiro,18 ou 19 anos,427,242,185
Coqueiro,20 a 24 anos,2451,1347,1104
Coqueiro,25 a 29 anos,3440,1867,1573
Coqueiro,30 a 34 anos,3570,1928,1642
Coqueiro,35 a 39 anos,3297,1767,1530
Coqueiro,40 a 44 anos,2851,1490,1361
Coqueiro,45 a 49 anos,2455,1319,1136
Coqueiro,50 a 54 anos,1990,1003,987
Coqueiro,55 a 59 anos,1535,805,730
Coqueiro,60 a 69 anos,2035,1001,1034
Coqueiro,70 anos ou mais,1360,538,822
Parque Verde,Total,18723,10048,8675
Parque Verde,10 a 14 anos,187,86,101
Parque Verde,15 a 19 anos,580,320,260
Parque Verde,15 a 17 anos,232,114,118
Parque Verde,18 ou 19 anos,348,206,142
Parque Verde,20 a 24 anos,1896,1104,792
Parque Verde,25 a 29 anos,2603,1437,1166
Parque Verde,30 a 34 anos,2629,1435,1194
Parque Verde,35 a 39 anos,2534,1360,1174
Parque Verde,40 a 44 anos,2202,1220,982
Parque Verde,45 a 49 anos,1815,975,840
Parque Verde,50 a 54 anos,1404,748,656
Parque Verde,55 a 59 anos,952,512,440
Parque Verde,60 a 69 anos,1193,573,620
Parque Verde,70 anos ou mais,728,278,450
Pratinha,Total,9689,5553,4136
Pratinha,10 a 14 anos,158,85,73
Pratinha,15 a 19 anos,401,250,151
Pratinha,15 a 17 anos,167,100,67
Pratinha,18 ou 19 anos,234,150,84
Pratinha,20 a 24 anos,1085,665,420
Pratinha,25 a 29 anos,1319,757,562
