Bairro,Grupo de idade,Total,Total.1,Total.2
Universitário,10 a 14 anos,"510,00",-,"510,00"
Universitário,15 a 19 anos,"300,00","300,00","327,50"
Universitário,15 a 17 anos,"300,00","300,00",-
Universitário,18 ou 19 anos,"292,50","267,50","327,50"
Universitário,20 a 24 anos,"510,00","510,00","510,00"
Universitário,25 a 29 anos,"510,00","510,00","510,00"
Universitário,30 a 34 anos,"510,00","510,00","510,00"
Universitário,35 a 39 anos,"510,00","510,00","510,00"
Universitário,40 a 44 anos,"510,00","510,00","510,00"
Universitário,45 a 49 anos,"510,00","510,00","510,00"
Universitário,50 a 54 anos,"510,00","555,00","510,00"
Universitário,55 a 59 anos,"510,00","510,00","510,00"
Universitário,60 a 69 anos,"510,00","510,00","510,00"
Universitário,70 anos ou mais,"510,00","510,00","510,00"
Castanheira,Total,"700,00","800,00","560,00"
Castanheira,10 a 14 anos,"141,00","160,00","130,00"
Castanheira,15 a 19 anos,"505,00","510,00","380,00"
Castanheira,15 a 17 anos,"268,00","300,00","250,00"
Castanheira,18 ou 19 anos,"510,00","510,00","510,00"
Castanheira,20 a 24 anos,"510,00","510,00","510,00"
Castanheira,25 a 29 anos,"600,00","700,00","512,00"
Castanheira,30 a 34 anos,"700,00","800,00","600,00"
Castanheira,35 a 39 anos,"750,00","900,00","600,00"
Castanheira,40 a 44 anos,"800,00","1000,00","700,00"
Castanheira,45 a 49 anos,"1000,00","1000,00","780,00"
Castanheira,50 a 54 anos,"1000,00","1000,00","800,00"
Castanheira,55 a 59 anos,"985,00","1010,00","710,00"
Castanheira,60 a 69 anos,"800,00","1010,00","530,00"
Castanheira,70 anos ou mais,"510,00","700,00","510,00"
Guanabara,Total,"510,00","575,00","510,00"
Guanabara,10 a 14 anos,"67,50","66,00","69,00"
Guanabara,15 a 19 anos,"275,00","250,00","300,00"
Guanabara,15 a 17 anos,"300,00","400,00","300,00"
Guanabara,18 ou 19 anos,"250,00","225,00","250,00"
Guanabara,20 a 24 anos,"510,00","510,00","510,00"
Guanabara,25 a 29 anos,"510,00","510,00","510,00"
Guanabara,30 a 34 anos,"510,00","603,00","510,00"
Guanabara,35 a 39 anos,"600,00","750,00","510,00"
Guanabara,40 a 44 anos,"535,00","750,00","510,00"
Guanabara,45 a 49 anos,"800,00","800,00","510,00"
Guanabara,50 a 54 anos,"510,00","555,00","510,00"
Guanabara,55 a 59 anos,"510,00","800,00","510,00"
Guanabara,60 a 69 anos,"510,00","510,00","510,00"
Guanabara,70 anos ou mais,"510,00","510,00","510,00"
Águas Lindas,Total,"510,00","510,00","510,00"
Águas Lindas,10 a 14 anos,"90,00","112,00","65,00"
Águas Lindas,15 a 19 anos,"350,00","500,00","204,00"
Águas Lindas,15 a 17 anos,"200,00","200,00","150,00"
Águas Lindas,18 ou 19 anos,"500,00","510,00","350,00"
Águas Lindas,20 a 24 anos,"510,00","510,00","510,00"
Águas Lindas,25 a 29 anos,"510,00","510,00","510,00"
Águas Lindas,30 a 34 anos,"510,00","510,00","510,00"
Águas Lindas,35 a 39 anos,"510,00","600,00","510,00"
Águas Lindas,40 a 44 anos,"510,00","600,00","510,00"
Águas Lindas,45 a 49 anos,"510,00","600,00","510,00"
Águas Lindas,50 a 54 anos,"510,00","510,00","510,00"
Águas Lindas,55 a 59 anos,"510,00","510,00","510,00"
Águas Lindas,60 a 69 anos,"510,00","510,00","510,00"
Águas Lindas,70 anos ou mais,"510,00","510,00","510,00"
Aurá,Total,"510,00","510,00","510,00"
Aurá,10 a 14 anos,"90,00","90,00","70,00"
Aurá,15 a 19 anos,"335,00","400,00","255,00"
Aurá,15 a 17 anos,"255,00","300,00","227,50"
Aurá,18 ou 19 anos,"400,00","450,00","255,00"
Aurá,20 a 24 anos,"510,00","510,00","400,00"
Aurá,25 a 29 anos,"510,00","510,00","500,00"
Aurá,30 a 34 anos,"510,00","510,00","500,00"
Aurá,35 a 39 anos,"510,00","510,00","510,00"
Aurá,40 a 44 anos,"510,00","510,00","510,00"
Aurá,45 a 49 anos,"510,00","600,00","510,00"
Aurá,50 a 54 anos,"510,00","510,00","510,00"
Aurá,55 a 59 anos,"510,00","510,00","510,00"
Aurá,60 a 69 anos,"510,00","520,00","510,00"
Aurá,70 anos ou mais,"510,00","510,00","510,00"
Bengui,Total,"510,00","515,00","510,00"
Bengui,10 a 14 anos,"90,00","90,00","70,00"
Bengui,15 a 19 anos,"350,00","440,00","255,50"
Bengui,15 a 17 anos,"250,00","267,50","200,00"
Bengui,18 ou 19 anos,"510,00","510,00","300,00"
